City,Hostname
Amsterdam,eu1.vpn.giganews.com
Athens,gr1.vpn.giganews.com
Brussels,be1.vpn.giganews.com
Bucharest,ro1.vpn.giganews.com
Chicago,us6.vpn.giganews.com
Copenhagen,dk1.vpn.giganews.com
Dublin,ie1.vpn.giganews.com
Frankfurt,de1.vpn.giganews.com
Helsinki,fi1.vpn.giganews.com
London,uk1.vpn.giganews.com
Luxembourg,lu1.vpn.giganews.com
Madrid,es1.vpn.giganews.com
New York City,us5.vpn.giganews.com
Oslo,no1.vpn.giganews.com
Paris,fr1.vpn.giganews.com
Reykjavík,is1.vpn.giganews.com
Riga,lv1.vpn.giganews.com
Rome,it1.vpn.giganews.com
Stockholm,se1.vpn.giganews.com
Toronto,ca1.vpn.giganews.com
Warsaw,pl1.vpn.giganews.com
Vienna,at1.vpn.giganews.com
Zurich,ch1.vpn.giganews.com
